City,Country,Longitude,Latitude,Humidity,Minimum Temperature,Maximum Temperature,Wind Speed,Cloudiness,Date
Ternate,PH,120.72,14.29,69,80.01,81.0,9.17,40,1553362300
Kondinskoye,RU,67.41,59.65,87,23.35,23.35,2.95,0,1553362383
Mataura,NZ,168.86,-46.19,91,55.99,55.99,2.73,64,1553361606
Grand-Lahou,CI,-5.0,5.24,67,85.72,85.72,5.3,12,1553362383
Namibe,AO,12.15,-15.19,100,78.25,78.25,6.76,24,1553362250
Nanortalik,GL,-45.24,60.14,100,23.17,23.17,17.72,24,1553362205
Ushuaia,AR,-68.31,-54.81,81,50.0,53.6,3.36,20,1553360400
Leningradskiy,RU,178.42,69.38,79,-8.07,-8.07,20.29,80,1553362252
Kaitangata,NZ,169.85,-46.28,91,56.38,56.38,3.96,80,1553362262
Bereznik,RU,42.71,62.86,84,32.62,32.62,13.13,76,1553362387
Severo-Kurilsk,RU,156.12,50.68,96,30.1,30.1,18.61,80,1553362257
Lixourion,GR,20.43,38.2,77,57.0,60.8,16.11,0,1553362276
Busselton,AU,115.35,-33.64,49,48.0,52.0,13.24,8,1553362067
Khandyga,RU,135.58,62.65,43,-15.09,-15.09,2.39,8,1553362388
Escarcega,MX,-90.75,18.61,40,88.96,88.96,2.95,0,1553362388
Burgeo,CA,-57.61,47.61,89,33.7,33.7,14.03,88,1553362388
Itacare,BR,-39.0,-14.28,70,86.0,86.0,5.82,75,1553356800
Dharchula,IN,80.53,29.85,73,34.42,34.42,1.83,0,1553362388
Nikolskoye,RU,30.79,59.7,80,37.99,39.2,8.95,75,1553362235
Georgetown,GY,-58.16,6.8,66,86.0,91.4,13.87,40,1553360400
Nemuro,JP,145.57,43.32,100,27.13,27.13,10.89,0,1553362308
Tasiilaq,GL,-37.64,65.61,56,15.8,15.8,13.87,20,1553359800
Kabalo,CD,26.92,-6.05,85,76.72,76.72,8.99,12,1553362389
Tuktoyaktuk,CA,-133.03,69.44,71,6.8,6.8,25.28,90,1553360400
Hermanus,ZA,19.24,-34.42,81,73.0,73.99,5.01,64,1553362264
Vaini,IN,74.49,15.34,85,69.97,69.97,3.06,0,1553362126
Loandjili,CG,11.87,-4.77,78,82.4,82.4,6.93,20,1553360400
Fredericksburg,US,-77.46,38.3,27,44.6,55.99,10.29,1,1553362296
Mahebourg,MU,57.7,-20.41,88,79.0,80.6,8.05,75,1553362140
Faanui,PF,-151.75,-16.48,100,83.47,83.47,10.22,44,1553362238
Rikitea,PF,-134.97,-23.12,98,79.33,79.33,18.95,32,1553362111
Barabinsk,RU,78.35,55.35,93,29.38,29.38,3.62,76,1553362390
Akdepe,TM,59.39,42.05,71,50.0,51.8,4.7,0,1553360400
Tagusao,PH,117.81,9.19,97,76.72,76.72,3.4,0,1553362391
Hamilton,CA,-79.87,43.26,37,32.0,37.99,13.87,5,1553361990
Hilo,US,-155.08,19.71,88,64.0,66.99,6.93,40,1553362263
Lima,PE,-77.04,-12.06,61,73.99,78.8,6.93,40,1553361731
Turukhansk,RU,87.96,65.8,88,19.57,19.57,3.18,88,1553362268
Dikson,RU,80.55,73.51,91,15.07,15.07,21.52,68,1553362280
Bluff,AU,149.07,-23.58,89,70.24,70.24,3.74,0,1553362110
Banyo,CM,11.81,6.75,91,66.73,66.73,3.74,88,1553362391
Verkh-Usugli,RU,115.17,52.7,55,17.95,17.95,7.09,0,1553362392
Narsaq,GL,-46.05,60.91,44,17.6,17.6,5.82,40,1553359800
Codrington,AU,153.24,-28.95,88,68.0,73.4,4.97,12,1553362018
Tiksi,RU,128.87,71.64,68,1.57,1.57,3.06,48,1553362126
Mbuguni,TZ,36.92,-3.55,33,77.0,86.0,17.22,20,1553360400
Maraa,BR,-65.37,-1.83,80,87.25,87.25,4.85,32,1553362392
Kodiak,US,-94.76,39.95,29,50.0,52.0,16.11,75,1553362217
Hobart,AU,147.33,-42.88,68,61.0,64.4,10.29,75,1553362214
Vilhena,BR,-60.15,-12.74,83,80.6,80.6,8.05,40,1553356800
Lompoc,US,-120.46,34.64,93,50.0,61.0,3.18,90,1553362110
Kinkala,CG,14.75,-4.35,94,69.8,69.8,3.36,20,1553360400
Harper,US,-99.24,30.3,88,60.01,66.2,10.29,90,1553362298
Newport,GB,-3.0,51.59,61,48.99,53.6,10.29,75,1553362148
Port-Cartier,CA,-66.88,50.03,74,28.4,32.0,19.46,90,1553362108
Ilulissat,GL,-51.1,69.22,39,-5.81,-5.81,18.34,75,1553359800
Saint-Philippe,CA,-73.48,45.36,50,24.01,32.0,26.4,1,1553362098
Kapaa,US,-159.32,22.08,78,66.0,71.6,21.92,75,1553362093
Weinan,CN,109.46,34.5,26,46.4,46.4,6.71,0,1553360400
Flinders,AU,150.85,-34.58,83,68.0,71.01,5.82,32,1553362217
Fasa,IR,53.65,28.94,87,51.8,51.8,2.17,20,1553360400
Meulaboh,ID,96.13,4.14,100,77.8,77.8,3.4,36,1553362394
Vardo,US,-77.74,39.62,33,41.0,48.0,9.17,1,1553362143
Fairbanks,US,-147.72,64.84,64,28.4,37.99,8.05,1,1553362250
Carnarvon,ZA,22.13,-30.97,16,78.7,78.7,7.43,92,1553362297
Launceston,AU,147.14,-41.43,93,59.0,61.0,13.87,0,1553362251
Qaanaaq,GL,-69.36,77.48,61,-21.57,-21.57,10.0,8,1553362275
Merida,PH,124.54,10.91,100,72.85,72.85,8.1,0,1553362394
Petrozavodsk,RU,34.39,61.79,86,33.8,33.8,15.66,88,1553360400
Geraldton,CA,-86.95,49.72,19,44.6,44.6,16.11,20,1553360400
Ayorou,NE,0.92,14.73,9,92.83,92.83,8.21,80,1553362395
Hambantota,LK,81.12,6.12,100,79.24,79.24,4.18,8,1553362239
Aswan,EG,32.9,24.09,18,91.4,91.4,8.05,0,1553356800
Riberalta,BO,-66.08,-11.0,74,84.2,84.2,10.29,75,1553356800
Qujing,CN,103.8,25.49,95,47.92,47.92,5.75,92,1553362389
Tessalit,ML,1.01,20.2,11,79.69,79.69,8.1,80,1553362396
Bubaque,GW,-15.83,11.28,80,84.19,84.19,5.86,8,1553362231
Jamestown,AU,138.6,-33.21,93,63.22,63.22,7.76,92,1553362110
Luanda,AO,13.24,-8.83,78,82.4,82.4,6.93,20,1553360400
Hithadhoo,MV,73.08,-0.6,100,86.89,86.89,7.31,68,1553362233
Thompson,CA,-97.86,55.74,57,17.6,17.6,21.92,20,1553360400
Cuiluan,CN,128.65,47.72,49,13.54,13.54,6.08,64,1553362396
Beloha,MG,45.06,-25.17,76,76.99,76.99,17.49,36,1553362396
Alofi,NU,-169.92,-19.06,88,71.6,71.6,5.82,48,1553356800
Yantal,RU,105.25,56.85,73,22.81,22.81,7.09,0,1553362397
Jagatsinghapur,IN,86.17,20.27,88,78.8,78.8,7.2,0,1553360400
Luderitz,NA,15.16,-26.65,82,63.49,63.49,11.79,8,1553362151
Avarua,CK,-159.78,-21.21,94,75.2,75.2,2.24,80,1553360400
Nimaparha,IN,86.02,20.07,88,78.8,78.8,9.66,0,1553360400
Barrow,AR,-60.23,-38.31,48,79.42,79.42,21.41,0,1553362221
Bredasdorp,ZA,20.04,-34.53,83,71.6,73.0,8.05,8,1553362264
Padang,ID,100.36,-0.92,94,77.0,77.0,9.17,75,1553356800
Minsk,BY,27.56,53.9,51,39.2,39.2,4.47,0,1553360400
Itaituba,BR,-55.99,-4.26,70,87.8,87.8,3.96,75,1553356800
Kahramanmaras,TR,36.93,37.58,70,55.0,59.0,5.82,0,1553361917
Provideniya,RU,-173.23,64.42,100,15.07,15.07,12.24,92,1553362273
Alyangula,AU,136.42,-13.85,100,77.0,77.0,2.24,40,1553356800
Gao,ML,-0.04,16.28,15,91.39,91.39,7.99,88,1553362248
Lebu,ET,38.73,8.96,28,69.8,69.8,9.17,40,1553360400
Birao,CF,22.78,10.3,16,89.77,89.77,8.43,0,1553362269
Rokytne,UA,27.23,51.27,56,36.94,36.94,3.96,0,1553362399
Berdigestyakh,RU,126.7,62.1,75,10.75,10.75,6.76,88,1553362399
Verkhoyansk,RU,133.39,67.55,71,-11.49,-11.49,2.62,56,1553362216
Castro,CL,-73.76,-42.48,72,59.0,59.0,5.82,75,1553360400
Atuona,PF,-139.03,-9.8,100,82.12,82.12,16.49,68,1553362256
Fortuna,ES,-1.13,38.18,51,57.0,62.01,4.7,20,1553362259
Albanel,CA,-72.44,48.88,45,26.6,32.0,27.51,20,1553362063
Seville,ES,-6.0,37.39,35,64.99,71.01,14.99,0,1553362317
Batagay-Alyta,RU,130.41,67.8,65,-10.86,-10.86,2.73,56,1553362226
Khatanga,RU,102.47,71.98,48,-16.44,-16.44,3.18,0,1553362130
Marawi,PH,124.29,8.0,85,73.99,73.99,1.99,32,1553361400
Aborlan,PH,118.55,9.44,100,78.97,78.97,9.22,0,1553362400
Saint-Joseph,FR,6.97,43.56,34,60.01,64.99,2.06,0,1553362083
Tokur,RU,132.9,53.13,55,-7.35,-7.35,3.18,0,1553362379
Shelburne,CA,-80.2,44.08,39,25.0,39.99,10.29,1,1553362330
Kaabong,UG,34.14,3.51,31,76.27,76.27,8.43,0,1553362400
Namie,JP,140.86,37.52,70,24.01,28.99,3.96,0,1553361401
Sitka,US,-99.65,37.17,70,55.99,55.99,10.0,12,1553362321
Abonnema,NG,6.79,4.71,66,89.6,89.6,4.7,75,1553356800
Albany,US,-73.75,42.65,55,24.8,39.0,27.51,75,1553362026
Hasaki,JP,140.83,35.73,100,28.0,32.0,1.12,20,1553362188
Brae,GB,-1.35,60.4,70,44.6,44.6,23.04,0,1553361600
Nioro,GM,-15.05,13.79,39,87.97,87.97,3.74,64,1553362354
Pochutla,MX,-96.47,15.74,55,89.01,89.01,6.98,0,1553361329
Maniitsoq,GL,-52.9,65.42,99,5.26,5.26,14.7,56,1553362405
Kuytun,RU,101.51,54.34,81,26.59,26.59,5.08,64,1553362405
Pathein,MM,94.73,16.78,87,75.1,75.1,8.77,0,1553362405
Rocha,UY,-54.34,-34.48,58,75.46,75.46,8.77,0,1553362405
Sucua,EC,-78.17,-2.46,65,77.0,77.0,8.05,40,1553360400
Cherskiy,RU,161.3,68.75,22,-14.64,-14.64,2.17,12,1553362120
Sikasso,ML,-5.68,11.32,17,93.73,93.73,5.41,48,1553362116
Jalu,LY,21.55,29.03,43,71.32,71.32,13.8,8,1553362224
Vao,EE,26.19,59.1,94,38.2,38.2,11.34,92,1553362346
Mecca,SA,39.83,21.43,49,69.52,69.52,2.73,0,1553362180
Koraput,IN,82.72,18.81,88,62.23,62.23,1.16,0,1553362406
Kruisfontein,ZA,24.73,-34.0,83,70.33,70.33,9.78,0,1553362264
Dingle,PH,122.67,11.0,77,77.08,77.08,12.12,68,1553362360
Airai,TL,125.41,-8.93,88,70.24,70.24,1.61,32,1553362143
Ende,ID,121.65,-8.84,100,83.11,83.11,11.23,0,1553362406
Lewiston,US,-117.02,46.42,71,44.01,51.01,4.7,20,1553362337
Maua,KE,37.94,0.23,69,66.37,66.37,2.73,8,1553362407
Mayo,CA,-135.9,63.59,56,42.8,42.8,11.41,75,1553360400
Yellowknife,CA,-114.38,62.45,54,3.0,3.2,8.05,20,1553362003
Souillac,FR,-0.6,45.6,28,66.2,71.01,8.05,0,1553362074
Sistranda,NO,8.83,63.73,90,37.0,39.0,47.2,75,1553362175
Tadine,NC,167.88,-21.55,96,79.42,79.42,15.7,32,1553362373
Pouembout,NC,164.9,-21.12,92,73.39,73.39,3.96,92,1553362409
Deniliquin,AU,144.96,-35.53,58,69.97,69.97,6.42,92,1553362409
Bandarbeyla,SO,50.81,9.49,100,81.04,81.04,9.44,36,1553362353
Gravdal,NO,5.78,59.79,81,37.99,42.8,24.16,75,1553362115
Butaritari,KI,172.79,3.07,100,81.4,81.4,8.99,68,1553362218
Chincholi,IN,77.42,17.47,62,75.73,75.73,3.85,48,1553362412
Labuhan,ID,115.51,-2.54,96,72.85,72.85,1.95,8,1553362286
Juba,EE,26.93,57.82,87,42.01,43.0,16.11,92,1553362097
Klaksvik,FO,-6.59,62.23,75,41.0,41.0,10.29,92,1553359800
Lisakovsk,KZ,62.49,52.55,71,24.34,24.34,2.95,76,1553362319
Ridgecrest,US,-117.67,35.62,44,55.0,64.0,4.74,1,1553362172
Katsuura,JP,134.5,33.93,93,37.4,37.4,5.82,40,1553360400
Bouna,CI,-3.0,9.27,25,94.99,94.99,2.73,0,1553362416
Sebinkarahisar,TR,38.42,40.29,97,31.27,31.27,2.51,92,1553362416
Lorengau,PG,147.27,-2.02,99,82.48,82.48,12.46,88,1553362297
Saskylakh,RU,114.09,71.97,33,-23.01,-23.01,3.4,0,1553362218
Lagos,NG,3.39,6.46,70,87.8,87.8,6.93,20,1553360400
Jaen,PE,-78.81,-5.71,77,71.32,71.32,2.39,36,1553362417
Torbay,CA,-52.73,47.66,76,50.0,54.0,23.04,75,1553362203
Eyl,SO,49.82,7.98,95,80.05,80.05,12.12,100,1553362261
Cleveland,US,-81.69,41.51,59,33.01,39.99,11.41,40,1553362250
Yeppoon,AU,150.74,-23.13,94,71.6,71.6,3.36,0,1553360400
Bukachacha,RU,116.91,52.99,53,15.25,15.25,5.41,0,1553362417
Seoul,KR,126.98,37.57,47,28.4,37.4,3.36,0,1553360400
Vostok,RU,135.83,46.45,67,6.34,6.34,2.51,0,1553362360
Beyneu,KZ,55.19,45.32,82,40.36,40.36,4.74,0,1553362159
Lobito,AO,13.55,-12.35,68,78.79,78.79,2.28,44,1553362277
Ghatsila,IN,86.41,22.65,36,68.35,68.35,5.86,0,1553362424
Oranjemund,ZA,16.43,-28.55,90,62.77,62.77,4.97,20,1553362424
Bulawayo,ZW,28.59,-20.16,63,69.34,69.34,13.02,0,1553362424
